address,Province,City,District,Street,Longitude,Latitude
江苏省南京市,江苏省,南京市,[],[],118.796624,32.059344
陕西省西安市莲湖区止园饭店,陕西省,西安市,莲湖区,[],108.940046,34.271270
陕西省西安市莲湖区丰登南路|18号,陕西省,西安市,莲湖区,丰登南路,108.894662,34.252878
浙江省宁波市海曙区环城西路北段|40号,浙江省,宁波市,海曙区,[],121.550485,29.873705
陕西省西安市未央区草滩路,陕西省,西安市,未央区,草滩街,108.991336,34.380000
陕西省西安市长安区沣惠,陕西省,西安市,长安区,[],108.771123,34.112260
陕西省西安市莲湖区解家村,陕西省,西安市,莲湖区,[],108.944161,34.265350
陕西省西安市莲湖区桃园路,陕西省,西安市,莲湖区,桃园路,108.901069,34.264899
陕西省西安市莲湖区龙首北路西段|27,陕西省,西安市,莲湖区,[],108.944161,34.265350
陕西省西安市莲湖区丰禾路|1号,陕西省,西安市,莲湖区,[],108.906726,34.281696
陕西省西安市莲湖区环城西路北段,陕西省,西安市,莲湖区,环城西路北段,108.922350,34.266215
陕西省西安市莲湖区大兴东路,陕西省,西安市,莲湖区,大兴东路,108.910032,34.286245
陕西省西安市莲湖区龙赵村,陕西省,西安市,莲湖区,[],108.935879,34.290809
陕西省西安市莲湖区团结东路|5号,陕西省,西安市,莲湖区,团结东路,108.904605,34.263210
陕西省西安市莲湖区明珠巷,陕西省,西安市,莲湖区,明珠巷,108.926428,34.283558
陕西省西安市莲湖区纸坊村|121号,陕西省,西安市,莲湖区,[],108.933444,34.278321
陕西省西安市莲湖区丰禾路|6号,陕西省,西安市,莲湖区,[],108.906726,34.281696
陕西省西安市莲湖区明珠巷,陕西省,西安市,莲湖区,明珠巷,108.926428,34.283558
陕西省西安市莲湖区青年路,陕西省,西安市,莲湖区,青年路,108.939675,34.271159
陕西省西安市莲湖区西北一路|40号,陕西省,西安市,莲湖区,西北一路,108.927554,34.271410
陕西省西安市未央区大兴路,陕西省,西安市,未央区,[],108.946665,34.293109
陕西省西安市莲湖区环城西路北段,陕西省,西安市,莲湖区,环城西路北段,108.922350,34.266215
陕西省西安市莲湖区西桃园,陕西省,西安市,莲湖区,[],108.893654,34.243366
陕西省西安市莲湖区莲湖路|63号|附3号,陕西省,西安市,莲湖区,莲湖路,108.932892,34.269766
陕西省西安市莲湖区红庙坡,陕西省,西安市,莲湖区,[],108.920939,34.285290
陕西省西安市鄠邑区团结西路中段,陕西省,西安市,鄠邑区,团结西路,108.622910,34.064572
陕西省西安市莲湖区电容器厂,陕西省,西安市,莲湖区,[],108.944161,34.265350
陕西省西安市莲湖区劳动南路|8号,陕西省,西安市,莲湖区,劳动南路,108.910005,34.250726
陕西省西安市莲湖区枣园,陕西省,西安市,莲湖区,[],108.865934,34.277155
陕西省西安市莲湖区大庆路,陕西省,西安市,莲湖区,大庆路,108.888521,34.269015
陕西省西安市莲湖区莲湖区西站,陕西省,西安市,莲湖区,[],108.944161,34.265350
陕西省西安市莲湖区丰庆路|92号,陕西省,西安市,莲湖区,丰庆路,108.909925,34.250830
陕西省西安市莲湖区习武园|34,陕西省,西安市,莲湖区,习武园,108.928904,34.273654
陕西省西安市莲湖区大庆西路,陕西省,西安市,莲湖区,[],108.944161,34.265350
陕西省西安市莲湖区环城西路北段,陕西省,西安市,莲湖区,环城西路北段,108.922350,34.266215
陕西省西安市莲湖区丰登南路|8号,陕西省,西安市,莲湖区,丰登南路,108.894662,34.252878
陕西省西安市莲湖区沣镐路,陕西省,西安市,莲湖区,沣镐路,108.907352,34.255491
陕西省西安市莲湖区介家巷,陕西省,西安市,莲湖区,[],108.919364,34.257407
陕西省西安市莲湖区自强西路|75号,陕西省,西安市,莲湖区,自强西路,108.936796,34.280199
陕西省西安市莲湖区自强西路,陕西省,西安市,莲湖区,自强西路,108.936796,34.280199
陕西省西安市未央区大兴路,陕西省,西安市,未央区,[],108.946665,34.293109
陕西省西安市莲湖区丰庆路|135号,陕西省,西安市,莲湖区,丰庆路,108.909925,34.250830
浙江省舟山市定海区环城西路|148号,浙江省,舟山市,定海区,[],122.106844,30.019795
陕西省西安市莲湖区环城西路北段,陕西省,西安市,莲湖区,环城西路北段,108.922350,34.266215
陕西省西安市莲湖区环城西路|146号,陕西省,西安市,莲湖区,环城西路北段,108.922350,34.266215
陕西省西安市高陵区西大街|368号,陕西省,西安市,高陵区,区西街,109.086013,34.537059
陕西省西安市莲湖区甜水井,陕西省,西安市,莲湖区,[],108.932996,34.254104
陕西省西安市莲湖区,陕西省,西安市,莲湖区,[],108.944161,34.265350
陕西省西安市未央区红光路,陕西省,西安市,未央区,红光路,108.857049,34.259318
陕西省西安市莲湖区沣惠北路|附7号,陕西省,西安市,莲湖区,沣惠北路,108.891143,34.273337
陕西省西安市莲湖区二府街|3号楼,陕西省,西安市,莲湖区,二府街,108.943089,34.267051
陕西省西安市莲湖区北稍门,陕西省,西安市,莲湖区,[],108.948452,34.286291
陕西省西安市莲湖区振华北路|10号,陕西省,西安市,莲湖区,振华北路,108.943333,34.286302
陕西省西安市莲湖区西关机场,陕西省,西安市,莲湖区,[],108.944161,34.265350
陕西省西安市莲湖区纸坊村,陕西省,西安市,莲湖区,[],108.933444,34.278321
陕西省西安市雁塔区中航大厦,陕西省,西安市,雁塔区,[],108.904689,34.235268
广东省广州市番禺区北大街,广东省,广州市,番禺区,北大街,113.395464,23.010783
陕西省西安市莲湖区劳动西路,陕西省,西安市,莲湖区,劳动西路,108.908394,34.266069
陕西省西安市碑林区十字南,陕西省,西安市,碑林区,[],108.940681,34.256727
陕西省西安市莲湖区北马道巷,陕西省,西安市,莲湖区,北马道巷,108.925621,34.265273
陕西省西安市莲湖区青年路|156号,陕西省,西安市,莲湖区,青年路,108.939675,34.271159
陕西省西安市未央区兴中路|136号,陕西省,西安市,未央区,兴中路,108.953558,34.327923
河南省郑州市金水区青年路|1号,河南省,郑州市,金水区,青年路,113.717689,34.742057
陕西省西安市莲湖区环城西路北段,陕西省,西安市,莲湖区,环城西路北段,108.922350,34.266215
陕西省西安市莲湖区西关机场,陕西省,西安市,莲湖区,[],108.944161,34.265350
陕西省西安市未央区兴中路|5号,陕西省,西安市,未央区,兴中路,108.953558,34.327923
